Date (GMT+1),Hydro Run-of-River,Fossil hard coal,Fossil oil,Fossil peat,Fossil gas,Hydro pumped storage,Others,Wind onshore,Load
05-01-2022 7.00,153.5,519.8,524.1,98.9,1266.2,0,0,294.6,
05-01-2022 7.30,151.8,520,631.7,97.7,1355.5,0,0,304.4,
05-01-2022 8.00,152.5,518.2,634.6,98.2,1392.2,0,0,267.8,3981.2
05-01-2022 8.30,160.2,517.7,654.6,101.7,1424.2,0,0,245.4,4139.3
05-01-2022 9.00,159.4,521.2,683.1,101.8,1468.2,2.9,0,264.4,4311.3
05-01-2022 9.30,161.6,519.6,690.7,101.8,1679.7,134,0,187.2,4438
05-01-2022 10.00,159.9,519.6,678.5,100.7,1729.6,187,25.9,144.6,4511
05-01-2022 10.30,154.9,520.5,668.8,98.6,1829.8,73.5,78.6,123.3,4563.3
05-01-2022 11.00,140.8,520,667.5,98.7,1830.1,9.9,21.9,107.3,4603.8
05-01-2022 11.30,144.5,518.2,682.8,101.3,1793.6,16.1,26.7,89.5,4617.7
05-01-2022 12.00,151.3,516.6,671.2,98.9,1835.6,9.8,22.4,73.9,4628.2
05-01-2022 12.30,161.1,517.7,680,101.1,1846.3,11.1,24.5,64.4,4659.3
05-01-2022 13.00,160.9,518.9,678.2,101.4,1846.8,10,24.1,57,4685.7
05-01-2022 13.30,158.3,521.6,660.9,96.7,1671.2,9.8,20.6,67.4,4618.2
05-01-2022 14.00,161.9,539,679.6,101.8,1683.3,12.5,0,63.2,
05-01-2022 14.30,160.8,551.1,668.9,99.7,1737.7,9.9,0,80.8,
05-01-2022 15.00,158.2,579.7,656.3,96.3,1615.6,10,0,100.2,4545.5
05-01-2022 15.30,159.2,605.3,661.3,97.2,1467.1,9.8,0,139.3,4570.4
05-01-2022 16.00,163.3,616.1,678.7,101.9,1504,27,0,177.3,4619.5
05-01-2022 16.30,161.6,690.4,670.1,101,1768.3,24.4,0,255,4788
05-01-2022 17.00,159.1,729.7,659.1,96.5,1777.8,132.8,101.1,358.9,
05-01-2022 17.30,160.7,737.3,669.3,98.5,1729.6,137.7,102.8,457.3,
05-01-2022 18.00,158.6,724.2,660.6,96.6,1669,133.5,101.2,594.4,5214.5
05-01-2022 18.30,160.6,656.3,669.3,99,1536.9,138.6,103.2,740.5,5076.1
05-01-2022 19.00,163.3,613.3,674.2,102.1,1510.6,152.5,103.5,847.8,4949.1
05-01-2022 19.30,157.3,615.8,654.6,95.5,1392.7,169.7,68.9,1073.6,4818.1
05-01-2022 20.00,159.6,611.5,668.4,98.8,1261.8,97.7,22.5,1281.5,4684.8
05-01-2022 20.30,158.4,612.4,578.9,97.8,1250.2,58.1,6.9,1415.2,4537.1
05-01-2022 21.00,159,617,425.7,98.2,1205.8,16.6,0,1601.7,4396.6
05-01-2022 21.30,157.9,617.9,375.9,97,1062.3,15.5,0,1759,4234.8
05-01-2022 22.00,157.8,552,356.7,96.5,756.3,15.1,0,2032.3,4065.8
05-01-2022 22.30,161.7,480.7,306.4,101.9,698.8,18.1,0,2218.8,3905
05-01-2022 23.00,152.8,392.2,57.1,98.8,508.4,14.9,0,2396.1,3786.8
05-01-2022 23.30,138.5,269.6,6.4,87,395.3,15.4,0,2472.7,3683
06-01-2022 0.00,138.4,197.3,0,66.6,371.4,0,0,2560.5,3527.7
06-01-2022 0.30,140.6,198.7,0,46.3,355.9,0,0,2674.6,3435.2
06-01-2022 1.00,142.4,203.5,0,46.3,365.8,0,0,2936.8,3392.5
06-01-2022 1.30,138.9,199.4,0,46.4,354.9,0,0,2907.5,3294.3
06-01-2022 2.00,141.7,201.9,0,46.4,361.7,0,0,2818.8,
06-01-2022 2.30,138.9,199.8,0,46.2,354.2,0,0,2781.8,
06-01-2022 3.00,141.7,201.2,0,46.3,360.5,0,0,2864.9,3125.6
06-01-2022 3.30,142.3,199.6,0,46.3,360.1,0,0,2897.4,3106.1
06-01-2022 4.00,140.4,199.2,0,46.3,356,0,0,2869.1,3096.9
06-01-2022 4.30,140.2,198.7,0,46.4,357.1,0,0,2840.8,3074.1
06-01-2022 5.00,140.2,199.4,0,46.1,355.3,0,0,2771.2,3106.6
06-01-2022 5.30,141.5,201.9,0,46.3,365.9,0,0,2830.8,3165.5
06-01-2022 6.00,141.9,199.8,0,46.2,370.1,0,0,2988.9,3297.3
06-01-2022 6.30,141.3,204.2,0,46.3,371.4,0,0,3147.5,3486.2
06-01-2022 7.00,139.9,203.3,0,46.3,398.8,17.9,0,3116.7,3717.3
06-01-2022 7.30,144.5,215.9,0,46.3,465.9,22.8,0,3369.7,4018.1
06-01-2022 8.00,155.1,219.1,0,46.4,554.2,23.9,0,3403.5,4218.1
06-01-2022 8.30,156.5,273.3,0,81.5,596,15.2,0,3423.5,4358.2
06-01-2022 9.00,157.2,350.3,0,101.3,733.2,34.5,0,3355,4451.3
06-01-2022 9.30,156.9,412.1,0,101.4,788.9,27.5,0,3337.9,4540.2
06-01-2022 10.00,155.9,396.8,0,98.7,640.6,20.1,0,3375.3,
06-01-2022 10.30,157.1,399.1,0,100.4,648,19.3,0,3390.6,
06-01-2022 11.00,157.7,422.6,0,100.4,590.5,21.2,0,3416.1,4633.4
06-01-2022 11.30,158.7,442.1,0,100.4,587.4,20.4,0,3402.7,4608.3
06-01-2022 12.00,156,385.1,0,93.8,546,19.8,0,3388.1,4633.6
06-01-2022 12.30,162.4,373.9,0,80.8,536.6,17.4,0,3347.1,4633.1
06-01-2022 13.00,157,303.4,0,74.5,506.1,14.2,0,3428.7,
06-01-2022 13.30,158.4,223.6,0,66.5,509.8,15.2,0,3435.4,
06-01-2022 14.00,162.1,248.1,0,73,573.4,17,0,3221.7,4569.8
06-01-2022 14.30,162.5,268.9,0,101.2,578.8,18.2,0,3121.8,4515
06-01-2022 15.00,162.9,370.4,0,101.9,673,85.2,0,3115.6,4613.2
06-01-2022 15.30,160.1,399.3,0,98,834,158.7,0,3056.4,4613.5
06-01-2022 16.00,160.3,517.3,0,97.8,998.4,286.3,0,2763.8,4659.5
06-01-2022 16.30,164.8,520.2,0,101.7,1084.1,293,0,3053.5,4882.3
06-01-2022 17.00,163,520.9,0,101.8,1270.6,292.1,0,2712.2,5051.1
06-01-2022 17.30,155.8,518.9,0,94.7,1189.4,277.4,0,2977.9,5200.5
06-01-2022 18.00,162.7,519.1,0,101.3,1124.8,287.6,0,3031.8,5199.1
06-01-2022 18.30,158.4,518.6,0,96.5,1239.4,3.8,0,2981.2,5033.1
06-01-2022 19.00,163.8,518.2,0,101.9,991.2,7.3,0,3055.1,
06-01-2022 19.30,157.7,519.6,0,95.9,820,5,0,3071.8,
06-01-2022 20.00,158.1,518.4,0,97.7,746.1,5.9,0,2955.3,
06-01-2022 20.30,132.8,476.4,0,97.4,734.9,4.1,0,2766.2,
06-01-2022 21.00,135.4,494.6,0,102.2,667.8,7.7,0,2859.4,4424.4
06-01-2022 21.30,134.2,489.8,0,101.9,724.3,0,0,2646.2,4238.1
06-01-2022 22.00,132.1,504.2,0,101.9,809.4,0,0,2442.3,4045.6
06-01-2022 22.30,128.4,517.3,0,94.7,699.6,0,0,2518.7,3844
06-01-2022 23.00,134.5,464,0,102,522.3,0,0,2618.7,3765.2
06-01-2022 23.30,135.5,494.2,0,102,612.8,0,0,2449.5,3662.9
07-01-2022 0.00,130.1,513.6,0,97.3,501.6,0,0,2410.7,3532.3
07-01-2022 0.30,133.4,386.7,0,81.9,376.3,0,0,2488,3452.2
07-01-2022 1.00,134.1,302.1,0,83,381.8,0,0,2539.6,3352.2
07-01-2022 1.30,128.9,293.4,0,94.8,418.7,0,0,2603.3,3307.4
07-01-2022 2.00,135.8,291.3,0,101.8,328.2,0,0,2562.9,3206.1
07-01-2022 2.30,129.4,324.5,0,95.6,460.4,0,0,2541.4,3177.6
07-01-2022 3.00,132.8,359.7,0,98.8,498.1,0,0,2474.5,3134.5
07-01-2022 3.30,134.2,390.6,0,99.5,395.1,0,0,2611.7,3164.7
07-01-2022 4.00,131.6,352.6,0,97.7,348.3,0,0,2659,3162.3
07-01-2022 4.30,135.6,378.7,0,87.2,442.3,0,0,2561.6,3130.7
07-01-2022 5.00,135.7,407.5,0,101.8,432.9,0,0,2520,3168.7
07-01-2022 5.30,136.9,429.2,0,101.8,608,0,0,2332.3,3204.4
07-01-2022 6.00,135.8,469.7,69.5,101.9,660.2,0,0,2297.4,3291.1
07-01-2022 6.30,134,516.8,121.8,98.8,606.8,0,0,2210.6,3491.8
07-01-2022 7.00,136.2,517.7,196.9,101.9,681.4,29.4,0,2148.8,3694.5
07-01-2022 7.30,135.7,519.1,455.9,101.6,827.2,23.3,0,1942.4,3990.3
07-01-2022 8.00,152.7,516.1,439.8,100.3,923.8,57.9,0,1882.2,
07-01-2022 8.30,156.4,518.6,456.6,97.3,976.6,59.4,10.4,1888.1,
07-01-2022 9.00,160.1,520.2,454.2,101.4,993.9,26.8,12.7,1873.5,4463.5
07-01-2022 9.30,157.9,518.2,458.6,98.8,1010.7,98.5,11,1689.7,4566.1
07-01-2022 10.00,159,520.5,455.2,99.1,932,16.2,11.4,1796.3,4631.7
07-01-2022 10.30,158.1,520.7,458.3,98.3,920.1,15.6,0,1963.9,4695.9
07-01-2022 11.00,157.6,518.9,461.6,99,922.1,10.1,0,1923.6,4742
